Datum,Anzahl_der_Fahrzeuge,Wochentag_sin,Wochentag_cos,Wochenende,Feiertag,Niederschlag (mm),Sonnenscheindauer (h),Lufttemperatur Mittelwert (°C),Windgeschwindigkeit Mittelwert (m/s)
2015-01-01,100,0.43388373911755823,-0.900968867902419,0,1,-0.1,7.2,-4.8,1.0
2015-01-02,50,-0.433883739117558,-0.9009688679024191,0,0,2.4,3.0,-2.2,0.6
2015-01-03,53,-0.9749279121818236,-0.2225209339563146,1,0,19.4,1.5,3.4,0.6
2015-01-04,151,-0.7818314824680299,0.6234898018587334,1,0,-0.1,0.8,6.8,2.6
2015-01-05,99,0.0,1.0,0,0,-0.1,7.2,2.0,2.6
2015-01-06,185,0.7818314824680298,0.6234898018587336,0,1,-0.1,7.4,0.3,0.6
2015-01-07,48,0.9749279121818236,-0.22252093395631434,0,0,-0.1,1.7,-0.5,1.0
2015-01-08,40,0.43388373911755823,-0.900968867902419,0,0,0.0,0.7,1.9,1.0
2015-01-09,38,-0.433883739117558,-0.9009688679024191,0,0,1.3,0.0,6.8,1.0
2015-01-10,199,-0.9749279121818236,-0.2225209339563146,1,0,3.2,6.6,11.1,1.5
2015-01-11,62,-0.7818314824680299,0.6234898018587334,1,0,10.2,1.2,8.0,2.6
2015-01-12,50,0.0,1.0,0,0,-0.1,1.9,3.5,1.0
2015-01-13,84,0.7818314824680298,0.6234898018587336,0,0,-0.1,7.8,4.9,1.5
2015-01-14,37,0.9749279121818236,-0.22252093395631434,0,0,4.2,0.3,6.2,2.1
2015-01-15,73,0.43388373911755823,-0.900968867902419,0,0,-0.1,5.2,7.3,1.0
2015-01-16,54,-0.433883739117558,-0.9009688679024191,0,0,8.6,1.0,8.5,1.0
2015-01-17,52,-0.9749279121818236,-0.2225209339563146,1,0,11.6,0.0,4.5,0.2
2015-01-18,132,-0.7818314824680299,0.6234898018587334,1,0,-0.1,2.1,1.2,1.0
2015-01-19,45,0.0,1.0,0,0,-0.1,5.3,1.3,1.0
2015-01-20,55,0.7818314824680298,0.6234898018587336,0,0,-0.1,3.2,1.3,1.0
2015-01-21,58,0.9749279121818236,-0.22252093395631434,0,0,-0.1,4.0,-0.9,1.0
2015-01-22,50,0.43388373911755823,-0.900968867902419,0,0,-0.1,0.0,-0.7,1.0
2015-01-23,45,-0.433883739117558,-0.9009688679024191,0,0,-0.1,0.0,1.0,2.1
2015-01-24,79,-0.9749279121818236,-0.2225209339563146,1,0,0.9,0.0,1.6,1.0
2015-01-25,130,-0.7818314824680299,0.6234898018587334,1,0,0.8,0.0,0.6,1.5
2015-01-26,35,0.0,1.0,0,0,10.0,4.6,0.2,1.5
2015-01-27,25,0.7818314824680298,0.6234898018587336,0,0,1.3,0.0,1.6,1.0
2015-01-28,42,0.9749279121818236,-0.22252093395631434,0,0,8.0,4.8,1.7,1.0
2015-01-29,34,0.43388373911755823,-0.900968867902419,0,0,4.7,0.0,1.4,1.0
2015-01-30,32,-0.433883739117558,-0.9009688679024191,0,0,4.8,0.0,2.5,2.1
2015-01-31,89,-0.9749279121818236,-0.2225209339563146,1,0,0.8,4.7,0.9,1.0
2015-02-01,104,-0.7818314824680299,0.6234898018587334,1,0,7.3,0.9,-0.2,1.0
2015-02-02,38,0.0,1.0,0,0,3.9,0.2,0.3,1.0
2015-02-03,39,0.7818314824680298,0.6234898018587336,0,0,-0.1,7.3,-4.1,0.6
2015-02-04,44,0.9749279121818236,-0.22252093395631434,0,0,-0.1,1.2,-2.2,1.0
2015-02-05,31,0.43388373911755823,-0.900968867902419,0,0,-0.1,0.0,-2.2,1.0
2015-02-06,39,-0.433883739117558,-0.9009688679024191,0,0,-0.1,0.0,-3.6,1.0
2015-02-07,79,-0.9749279121818236,-0.2225209339563146,1,0,-0.1,0.0,-2.7,0.6
2015-02-08,50,-0.7818314824680299,0.6234898018587334,1,0,2.3,0.0,-2.5,0.6
2015-02-09,27,0.0,1.0,0,0,-0.1,0.0,-3.3,1.5
2015-02-10,85,0.7818314824680298,0.6234898018587336,0,0,-0.1,8.8,-2.2,0.6
2015-02-11,41,0.9749279121818236,-0.22252093395631434,0,0,-0.1,2.6,-3.3,0.6
2015-02-12,49,0.43388373911755823,-0.900968867902419,0,0,-0.1,0.0,-4.7,0.0
2015-02-13,61,-0.433883739117558,-0.9009688679024191,0,0,-0.1,5.0,-3.5,1.0
2015-02-14,124,-0.9749279121818236,-0.2225209339563146,1,0,-0.1,2.4,-1.9,1.0
2015-02-15,115,-0.7818314824680299,0.6234898018587334,1,0,-0.1,0.0,-1.9,0.6
2015-02-16,59,0.0,1.0,0,0,-0.1,4.8,-0.6,1.0
2015-02-17,51,0.7818314824680298,0.6234898018587336,0,0,-0.1,0.0,-1.3,1.0
2015-02-18,51,0.9749279121818236,-0.22252093395631434,0,0,-0.1,0.0,0.9,1.0
2015-02-19,100,0.43388373911755823,-0.900968867902419,0,0,-0.1,9.1,-0.2,1.0
2015-02-20,109,-0.433883739117558,-0.9009688679024191,0,0,-0.1,9.2,3.0,1.0
2015-02-21,132,-0.9749279121818236,-0.2225209339563146,1,0,4.7,0.1,4.5,2.6
2015-02-22,199,-0.7818314824680299,0.6234898018587334,1,0,0.0,2.1,2.2,1.5
2015-02-23,38,0.0,1.0,0,0,3.9,1.9,1.3,1.0
2015-02-24,43,0.7818314824680298,0.6234898018587336,0,0,0.0,0.0,3.5,1.5
2015-02-25,63,0.9749279121818236,-0.22252093395631434,0,0,0.1,1.6,3.1,1.0
2015-02-26,105,0.43388373911755823,-0.900968867902419,0,0,-0.1,9.5,3.1,1.0
2015-02-27,35,-0.433883739117558,-0.9009688679024191,0,0,7.8,0.0,1.5,2.1
2015-02-28,145,-0.9749279121818236,-0.2225209339563146,1,0,-0.1,2.7,4.2,1.0
2015-03-01,184,-0.7818314824680299,0.6234898018587334,1,0,7.8,0.7,5.8,1.5
2015-03-02,22,0.0,1.0,0,0,17.0,0.0,6.4,1.5
2015-03-03,73,0.7818314824680298,0.6234898018587336,0,0,2.6,8.5,6.3,0.6
2015-03-04,48,0.9749279121818236,-0.22252093395631434,0,0,1.8,1.5,4.0,2.6
2015-03-05,31,0.43388373911755823,-0.900968867902419,0,0,1.3,0.2,1.8,1.5
2015-03-06,108,-0.433883739117558,-0.9009688679024191,0,0,-0.1,10.0,3.1,1.0
2015-03-07,266,-0.9749279121818236,-0.2225209339563146,1,0,-0.1,10.0,3.9,1.0
2015-03-08,668,-0.7818314824680299,0.6234898018587334,1,0,-0.1,10.1,5.5,1.0
2015-03-09,102,0.0,1.0,0,0,-0.1,9.6,7.4,0.6
2015-03-10,103,0.7818314824680298,0.6234898018587336,0,0,0.0,7.9,7.9,1.5
2015-03-11,43,0.9749279121818236,-0.22252093395631434,0,0,-0.1,3.3,7.9,1.0
2015-03-12,99,0.43388373911755823,-0.900968867902419,0,0,-0.1,10.4,3.7,1.0
2015-03-13,123,-0.433883739117558,-0.9009688679024191,0,0,-0.1,10.5,2.8,2.1
2015-03-14,247,-0.9749279121818236,-0.2225209339563146,1,0,-0.1,9.8,2.4,2.1
2015-03-15,557,-0.7818314824680299,0.6234898018587334,1,0,-0.1,10.4,4.2,1.5
2015-03-16,85,0.0,1.0,0,0,-0.1,3.8,9.3,1.0
2015-03-17,81,0.7818314824680298,0.6234898018587336,0,0,-0.1,1.8,11.4,1.0
2015-03-18,134,0.9749279121818236,-0.22252093395631434,0,0,-0.1,10.4,10.1,2.1
2015-03-19,252,0.43388373911755823,-0.900968867902419,0,1,-0.1,10.0,9.4,2.1
2015-03-20,150,-0.433883739117558,-0.9009688679024191,0,0,-0.1,10.8,7.7,0.6
2015-03-21,89,-0.9749279121818236,-0.2225209339563146,1,0,12.9,0.0,7.6,1.0
2015-03-22,371,-0.7818314824680299,0.6234898018587334,1,0,-0.1,4.3,6.1,1.5
2015-03-23,93,0.0,1.0,0,0,-0.1,9.5,7.3,1.0
2015-03-24,123,0.7818314824680298,0.6234898018587336,0,0,-0.1,8.7,9.5,1.5
2015-03-25,94,0.9749279121818236,-0.22252093395631434,0,0,3.0,4.1,10.4,2.1
2015-03-26,50,0.43388373911755823,-0.900968867902419,0,0,1.8,1.5,7.5,2.6
2015-03-27,59,-0.433883739117558,-0.9009688679024191,0,0,0.0,0.9,7.6,1.5
2015-03-28,402,-0.9749279121818236,-0.2225209339563146,1,0,4.4,9.9,8.7,1.5
2015-03-29,251,-0.7818314824680299,0.6234898018587334,1,0,11.3,1.5,10.5,1.5
2015-03-30,48,0.0,1.0,0,0,8.2,0.5,10.0,2.6
2015-03-31,97,0.7818314824680298,0.6234898018587336,0,0,9.2,1.6,12.1,5.2
2015-04-01,45,0.9749279121818236,-0.22252093395631434,0,0,4.5,1.4,7.1,2.6
2015-04-02,46,0.43388373911755823,-0.900968867902419,0,0,8.3,0.0,4.6,2.6
2015-04-03,233,-0.433883739117558,-0.9009688679024191,0,0,2.6,9.8,6.3,1.5
2015-04-04,57,-0.9749279121818236,-0.2225209339563146,1,0,8.7,0.0,6.4,1.0
2015-04-05,252,-0.7818314824680299,0.6234898018587334,1,0,-0.1,6.6,5.6,3.8
2015-04-06,406,0.0,1.0,0,0,0.7,4.7,2.4,2.1
2015-04-07,107,0.7818314824680298,0.6234898018587336,0,0,-0.1,11.7,4.1,0.6
2015-04-08,166,0.9749279121818236,-0.22252093395631434,0,0,-0.1,11.7,7.9,1.5
2015-04-09,206,0.43388373911755823,-0.900968867902419,0,0,-0.1,11.8,9.3,1.5
2015-04-10,219,-0.433883739117558,-0.9009688679024191,0,0,-0.1,11.8,12.9,1.5
2015-04-11,221,-0.9749279121818236,-0.2225209339563146,1,0,0.0,4.0,14.4,2.6
2015-04-12,589,-0.7818314824680299,0.6234898018587334,1,0,-0.1,11.8,13.1,1.5
2015-04-13,142,0.0,1.0,0,0,-0.1,10.0,13.7,2.1
2015-04-14,154,0.7818314824680298,0.6234898018587336,0,0,-0.1,12.1,13.8,0.6
2015-04-15,199,0.9749279121818236,-0.22252093395631434,0,0,-0.1,12.1,14.7,1.5
2015-04-16,189,0.43388373911755823,-0.900968867902419,0,0,1.8,7.2,15.4,1.5
2015-04-17,54,-0.433883739117558,-0.9009688679024191,0,0,26.5,0.0,15.3,1.5
2015-04-18,148,-0.9749279121818236,-0.2225209339563146,1,0,0.0,4.6,9.2,1.5
2015-04-19,573,-0.7818314824680299,0.6234898018587334,1,0,-0.1,12.3,8.5,1.5
2015-04-20,113,0.0,1.0,0,0,-0.1,12.3,10.1,1.5
2015-04-21,124,0.7818314824680298,0.6234898018587336,0,0,-0.1,12.4,12.1,1.5
2015-04-22,146,0.9749279121818236,-0.22252093395631434,0,0,-0.1,12.4,15.4,1.5
